rank 12, epoch 1, step 200 / 1362, train loss 40.02, time 1m 59s
rank 95, epoch 1, step 200 / 1362, train loss 66.25, time 2m 0s
rank 78, epoch 1, step 200 / 1362, train loss 79.67, time 2m 1s
rank 40, epoch 1, step 200 / 1362, train loss 44.82, time 2m 0s
rank 31, epoch 1, step 200 / 1362, train loss 69.01, time 1m 60s
rank 50, epoch 1, step 300 / 1362, train loss 69.41, time 1m 60s
rank 83, epoch 1, step 200 / 1362, train loss 67.63, time 2m 0s
rank 10, epoch 1, step 200 / 1362, train loss 66.93, time 2m 0s
rank 93, epoch 1, step 200 / 1362, train loss 92.37, time 2m 1s
rank 42, epoch 1, step 200 / 1362, train loss 51.92, time 2m 1s
rank 24, epoch 1, step 200 / 1362, train loss 63.85, time 2m 1s
rank 37, epoch 1, step 200 / 1362, train loss 61.10, time 2m 1s
rank 62, epoch 1, step 200 / 1362, train loss 75.52, time 2m 1s
rank 51, epoch 1, step 200 / 1362, train loss 62.54, time 2m 1s
rank 70, epoch 1, step 200 / 1362, train loss 71.11, time 2m 2s
rank 94, epoch 1, step 200 / 1362, train loss 76.21, time 2m 1s
rank 48, epoch 1, step 200 / 1362, train loss 62.88, time 2m 2s
rank 14, epoch 1, step 200 / 1362, train loss 66.44, time 2m 1s
rank 29, epoch 1, step 200 / 1362, train loss 66.98, time 2m 2s
rank 30, epoch 1, step 200 / 1362, train loss 88.26, time 2m 2s
rank 91, epoch 1, step 200 / 1362, train loss 31.17, time 2m 2s
rank 6, epoch 1, step 200 / 1362, train loss 80.22, time 2m 2s
rank 92, epoch 1, step 200 / 1362, train loss 79.71, time 2m 2s
rank 43, epoch 1, step 200 / 1362, train loss 73.72, time 2m 2s
rank 19, epoch 1, step 300 / 1362, train loss 79.75, time 2m 2s
rank 25, epoch 1, step 200 / 1362, train loss 62.60, time 2m 2s
rank 76, epoch 1, step 200 / 1362, train loss 67.14, time 2m 2s
rank 60, epoch 1, step 200 / 1362, train loss 74.48, time 2m 2s
rank 68, epoch 1, step 200 / 1362, train loss 62.94, time 2m 3s
rank 9, epoch 1, step 200 / 1362, train loss 88.68, time 2m 2s
rank 4, epoch 1, step 200 / 1362, train loss 55.76, time 2m 2s
rank 88, epoch 1, step 200 / 1362, train loss 81.99, time 2m 3s
rank 3, epoch 1, step 200 / 1362, train loss 73.54, time 2m 3s
rank 2, epoch 1, step 200 / 1362, train loss 63.25, time 2m 4s
rank 15, epoch 1, step 200 / 1362, train loss 78.35, time 2m 4s
rank 17, epoch 1, step 200 / 1362, train loss 72.42, time 2m 5s
rank 55, epoch 1, step 300 / 1362, train loss 69.95, time 2m 10s
rank 32, epoch 1, step 200 / 1362, train loss 47.99, time 2m 15s
rank 36, epoch 1, step 200 / 1362, train loss 54.61, time 2m 16s
rank 23, epoch 1, step 300 / 1362, train loss 71.62, time 2m 16s
rank 1, epoch 1, step 300 / 1362, train loss 92.02, time 2m 18s
rank 56, epoch 1, step 400 / 1362, train loss 67.65, time 2m 28s
rank 73, epoch 1, step 400 / 1362, train loss 80.45, time 2m 30s
rank 63, epoch 1, step 400 / 1362, train loss 46.16, time 2m 30s
rank 65, epoch 1, step 400 / 1362, train loss 67.61, time 2m 30s
rank 8, epoch 1, step 300 / 1362, train loss 48.87, time 2m 30s
rank 45, epoch 1, step 400 / 1362, train loss 56.50, time 2m 30s
rank 84, epoch 1, step 400 / 1362, train loss 51.80, time 2m 30s
rank 85, epoch 1, step 400 / 1362, train loss 67.19, time 2m 31s
rank 59, epoch 1, step 400 / 1362, train loss 73.26, time 2m 31s
rank 87, epoch 1, step 400 / 1362, train loss 73.57, time 2m 32s
rank 82, epoch 1, step 400 / 1362, train loss 58.16, time 2m 31s
rank 7, epoch 1, step 400 / 1362, train loss 55.18, time 2m 33s
rank 89, epoch 1, step 400 / 1362, train loss 91.17, time 2m 33s
rank 53, epoch 1, step 400 / 1362, train loss 64.97, time 2m 34s
rank 49, epoch 1, step 400 / 1362, train loss 67.48, time 2m 34s
rank 80, epoch 1, step 400 / 1362, train loss 83.42, time 2m 34s
rank 41, epoch 1, step 400 / 1362, train loss 60.60, time 2m 33s
rank 28, epoch 1, step 400 / 1362, train loss 58.10, time 2m 33s
rank 22, epoch 1, step 400 / 1362, train loss 57.14, time 2m 33s
rank 27, epoch 1, step 400 / 1362, train loss 89.88, time 2m 33s
rank 11, epoch 1, step 400 / 1362, train loss 42.80, time 2m 35s
rank 69, epoch 1, step 400 / 1362, train loss 63.98, time 2m 34s
rank 26, epoch 1, step 400 / 1362, train loss 50.30, time 2m 34s
rank 5, epoch 1, step 400 / 1362, train loss 37.96, time 2m 34s
rank 58, epoch 1, step 400 / 1362, train loss 64.58, time 2m 34s
rank 35, epoch 1, step 400 / 1362, train loss 73.36, time 2m 35s
rank 71, epoch 1, step 400 / 1362, train loss 75.59, time 2m 35s
rank 90, epoch 1, step 400 / 1362, train loss 69.48, time 2m 35s
rank 34, epoch 1, step 400 / 1362, train loss 86.83, time 2m 34s
rank 77, epoch 1, step 400 / 1362, train loss 72.71, time 2m 35s
rank 39, epoch 1, step 400 / 1362, train loss 62.25, time 2m 36s
rank 38, epoch 1, step 400 / 1362, train loss 79.88, time 2m 36s
rank 52, epoch 1, step 400 / 1362, train loss 50.38, time 2m 35s
rank 33, epoch 1, step 400 / 1362, train loss 77.29, time 2m 36s
rank 18, epoch 1, step 400 / 1362, train loss 86.10, time 2m 36s
rank 13, epoch 1, step 400 / 1362, train loss 75.42, time 2m 36s
rank 46, epoch 1, step 400 / 1362, train loss 82.76, time 2m 36s
rank 74, epoch 1, step 400 / 1362, train loss 49.95, time 2m 37s
rank 44, epoch 1, step 400 / 1362, train loss 39.54, time 2m 37s
rank 57, epoch 1, step 400 / 1362, train loss 48.69, time 2m 37s
rank 81, epoch 1, step 400 / 1362, train loss 84.46, time 2m 37s
rank 61, epoch 1, step 400 / 1362, train loss 77.63, time 2m 38s
rank 21, epoch 1, step 400 / 1362, train loss 52.23, time 2m 39s
rank 50, epoch 1, step 400 / 1362, train loss 41.66, time 2m 39s
rank 88, epoch 1, step 300 / 1362, train loss 64.08, time 2m 43s
rank 19, epoch 1, step 400 / 1362, train loss 50.67, time 2m 43s
rank 66, epoch 1, step 300 / 1362, train loss 50.87, time 2m 52s
rank 54, epoch 1, step 300 / 1362, train loss 71.84, time 2m 53s
rank 16, epoch 1, step 400 / 1362, train loss 63.44, time 2m 53s
rank 55, epoch 1, step 400 / 1362, train loss 61.71, time 2m 54s
rank 86, epoch 1, step 300 / 1362, train loss 80.81, time 2m 55s
