rank 5, epoch 1, step 2000 / 14900, train loss 117.64, time 19m 59s
rank 31, epoch 1, step 2000 / 14900, train loss 98.43, time 20m 1s
rank 50, epoch 1, step 2000 / 14900, train loss 56.92, time 20m 3s
rank 70, epoch 1, step 2000 / 14900, train loss 115.43, time 20m 4s
rank 21, epoch 1, step 2000 / 14900, train loss 68.83, time 20m 8s
rank 53, epoch 1, step 2000 / 14900, train loss 231.40, time 20m 7s
rank 76, epoch 1, step 2000 / 14900, train loss 62.73, time 20m 7s
rank 47, epoch 1, step 2000 / 14900, train loss 89.45, time 20m 14s
rank 0, epoch 1, step 2000 / 14900, train loss 77.97, time 20m 11s
rank 35, epoch 1, step 2000 / 14900, train loss 65.24, time 20m 13s
rank 22, epoch 1, step 2000 / 14900, train loss 72.33, time 20m 14s
rank 38, epoch 1, step 2000 / 14900, train loss 127.21, time 20m 15s
rank 48, epoch 1, step 2000 / 14900, train loss 73.06, time 20m 20s
rank 12, epoch 1, step 2000 / 14900, train loss 256.30, time 20m 22s
rank 59, epoch 1, step 2000 / 14900, train loss 79.63, time 20m 25s
rank 93, epoch 1, step 2000 / 14900, train loss 108.18, time 20m 26s
rank 79, epoch 1, step 2000 / 14900, train loss 66.86, time 20m 29s
rank 4, epoch 1, step 2000 / 14900, train loss 589.77, time 20m 35s
rank 64, epoch 1, step 2000 / 14900, train loss 133.87, time 20m 52s
rank 30, epoch 1, step 3000 / 14900, train loss 81.31, time 28m 28s
rank 85, epoch 1, step 3000 / 14900, train loss 50.88, time 28m 30s
rank 95, epoch 1, step 3000 / 14900, train loss 123.09, time 28m 52s
rank 46, epoch 1, step 3000 / 14900, train loss 106.12, time 29m 17s
rank 69, epoch 1, step 3000 / 14900, train loss 76.52, time 29m 24s
rank 56, epoch 1, step 3000 / 14900, train loss 99.82, time 29m 27s
rank 92, epoch 1, step 3000 / 14900, train loss 64.79, time 29m 26s
rank 62, epoch 1, step 3000 / 14900, train loss 72.34, time 29m 29s
rank 2, epoch 1, step 3000 / 14900, train loss 67.23, time 29m 32s
